Site_chainID,Chain,Coarse_fine,Species,SampleID,Collection_date,Date_numeric,OGDryWeight,OG_organic,SampleDryWeight_g,Ave_Prop_organic,AFDM_g,Prop_remaining
1FJW,1,F,JW,OG,NA,0,5.02652,4.665074855,5.02652,0.928092369,4.665074855,1
1FJW,1,F,JW,148,3-Dec-25,3-Dec-25,5.0686,4.704128982,1.7717,0.662541963,1.173825595,0.249530912
1FJW,1,F,JW,147,18-Nov-25,18-Nov-25,5.0218,4.660694259,1.0591,0.610274732,0.646341969,0.138679333
1FJW,1,F,JW,149,4-Nov-25,4-Nov-25,5.0304,4.668675853,1.7195,0.596424294,1.025551573,0.219666476
1FJW,1,F,JW,152,21-Oct-25,21-Oct-25,5.0087,4.648536249,1.9744,0.744091411,1.469134081,0.316042299
1FJW,1,F,JW,146,14-Oct-25,14-Oct-25,5.0031,4.643338931,4.485,0.592090985,2.655528068,0.571900546
2FJW,2,F,JW,OG,NA,0,5.01786,4.657037575,5.01786,0.928092369,4.657037575,1
2FJW,2,F,JW,154,3-Dec-25,3-Dec-25,5.0082,4.648072202,0.0243,0.792134831,0.019248876,0.00414126
2FJW,2,F,JW,177,18-Nov-25,18-Nov-25,5.0268,4.66533472,1.1371,0.640483372,0.728293643,0.156107479
2FJW,2,F,JW,168,4-Nov-25,4-Nov-25,5.0051,4.645195116,1.7677,0.525100015,0.928219296,0.199823532
2FJW,2,F,JW,185,21-Oct-25,21-Oct-25,5.0152,4.654568849,1.5938,0.723464568,1.153057828,0.247726023
2FJW,2,F,JW,186,14-Oct-25,14-Oct-25,5.034,4.672016986,2.4284,0.769540926,1.868753185,0.399988525
3FJW,3,F,JW,OG,NA,0,5.02064,4.659617671,5.02064,0.928092369,4.659617671,1
3FJW,3,F,JW,196,3-Dec-25,3-Dec-25,5.0156,4.654940086,0.0755,0.539370079,0.040722441,0.00874822
3FJW,3,F,JW,175,18-Nov-25,18-Nov-25,5.0099,4.649649959,0.2077,0.639852787,0.132897424,0.028582243
3FJW,3,F,JW,160,4-Nov-25,4-Nov-25,5.0049,4.645009498,0.4768,0.58389112,0.278399286,0.059935138
3FJW,3,F,JW,197,21-Oct-25,21-Oct-25,5.0439,4.6812051,1.209,0.723095732,0.87422274,0.186751642
3FJW,3,F,JW,199,14-Oct-25,14-Oct-25,5.0289,4.667283714,3.2023,0.701137047,2.245251165,0.481061642
1CJW,1,C,JW,OG,NA,0,5.0216,4.66050864,5.0216,0.928092369,4.66050864,1
1CJW,1,C,JW,131,3-Dec-25,3-Dec-25,5.0169,4.656146606,0,0,0,0
1CJW,1,C,JW,132,18-Nov-25,18-Nov-25,5.0131,4.652619855,0,0,0,0
1CJW,1,C,JW,134,4-Nov-25,4-Nov-25,5.0176,4.656796271,0.0136,0.654545455,0.008901818,0.001911576
1CJW,1,C,JW,141,21-Oct-25,21-Oct-25,5.0475,4.684546233,0.0804,0.627320955,0.050436605,0.010766593
1CJW,1,C,JW,140,14-Oct-25,14-Oct-25,5.0129,4.652434237,0.7776,0.826953785,0.643039263,0.138215659
2CJW,2,C,JW,OG,NA,0,5.02226,4.661121181,5.02226,0.928092369,4.661121181,1
2CJW,2,C,JW,166,3-Dec-25,3-Dec-25,5.0125,4.652063,0,0,0,0
2CJW,2,C,JW,173,18-Nov-25,18-Nov-25,5.0457,4.682875666,0,0,0,0
2CJW,2,C,JW,189,4-Nov-25,4-Nov-25,5.016,4.655311323,0,0,0,0
2CJW,2,C,JW,172,21-Oct-25,21-Oct-25,5.0249,4.663571345,0.0279,0.840148699,0.023440149,0.005026223
2CJW,2,C,JW,184,14-Oct-25,14-Oct-25,5.0122,4.651784572,0.0445,0.618016244,0.027501723,0.00591208
3CJW,3,C,JW,OG,NA,0,5.03102,4.66925127,5.03102,0.928092369,4.66925127,1
3CJW,3,C,JW,192,3-Dec-25,3-Dec-25,5.0251,4.663756963,0,0,0,0
3CJW,3,C,JW,195,18-Nov-25,18-Nov-25,5.0502,4.687052082,0,0,0,0
3CJW,3,C,JW,188,4-Nov-25,4-Nov-25,5.046,4.683154094,0,0,0,0
3CJW,3,C,JW,179,21-Oct-25,21-Oct-25,5.0302,4.668490235,0.0411,0.741847826,0.030489946,0.006531008
3CJW,3,C,JW,129,14-Oct-25,14-Oct-25,5.0036,4.643802978,0.1147,0.639327024,0.07333081,0.015791111
1FKW,1,F,KW,OG,NA,0,5.03354,4.655573384,5.03354,0.924910378,4.655573384,1
1FKW,1,F,KW,204,3-Dec-25,3-Dec-25,5.0078,4.631766191,2.5667,0.847072809,2.174181779,0.469406634
1FKW,1,F,KW,205,18-Nov-25,18-Nov-25,5.0474,4.668392642,2.5814,0.831890829,2.147442987,0.459996224
1FKW,1,F,KW,206,4-Nov-25,4-Nov-25,5.02,4.643050098,2.3403,0.833933753,1.951655163,0.420339028
1FKW,1,F,KW,207,21-Oct-25,21-Oct-25,5.0757,4.694567606,3.138,0.880128329,2.761842696,0.588306086
1FKW,1,F,KW,208,14-Oct-25,14-Oct-25,5.0168,4.640090384,4.4273,0.865508645,3.831866423,0.825817194
2FKW,2,F,KW,OG,NA,0,5.059816,4.679876329,5.059816,0.924910378,4.679876329,1
2FKW,2,F,KW,210,3-Dec-25,3-Dec-25,5.0209,4.643882517,0.2939,0.900754268,0.264731679,0.057006541
2FKW,2,F,KW,211,18-Nov-25,18-Nov-25,5.072,4.691145437,1.0885,0.830035499,0.90349364,0.19259553
2FKW,2,F,KW,212,21-Oct-25,21-Oct-25,5.0849,4.703076781,3.1273,0.835799455,2.613795635,0.555762909
2FKW,2,F,KW,213,14-Oct-25,14-Oct-25,5.0702,4.689480599,4.4102,0.854051813,3.766539307,0.803189016
3FKW,3,F,KW,OG,NA,0,5.05108,4.671796312,5.05108,0.924910378,4.671796312,1
3FKW,3,F,KW,214,3-Dec-25,3-Dec-25,5.0318,4.65396404,2.7274,0.832010745,2.269226106,0.487589953
